ID,Status,Direction,Type,EntryTime,ExitTime,OrderPrice,StopLoss,TakeProfit,PnL
1,LOSS,BUY,market,2023-01-09T10:00:00.000Z,2023-01-09T19:37:00.000Z,1875.01,1868.95429,1887.12143,-150
2,LOSS,BUY,precision,2023-01-09T11:09:00.000Z,2023-01-09T19:22:00.000Z,1872.495,1869.99214,1884.43,-147.75
3,LOSS,BUY,precision,2023-01-09T23:00:00.000Z,2023-01-11T18:17:00.000Z,1876.14,1867.47679,1886.80214,-145.53375
4,WIN,BUY,precision,2023-01-10T02:00:00.000Z,2023-01-11T10:49:00.000Z,1876.14,1867.63793,1884.48071,140.63010324580415
5,LOSS,BUY,market,2023-01-10T12:00:00.000Z,2023-01-10T14:37:00.000Z,1876.8,1871.4975,1887.405,-145.46019529868707
6,LOSS,BUY,market,2023-01-10T17:00:00.000Z,2023-01-10T18:45:00.000Z,1878.19,1872.2425,1890.085,-143.27829236920675
7,LOSS,BUY,market,2023-01-10T23:00:00.000Z,2023-01-11T16:50:00.000Z,1878.06,1871.72036,1890.73929,-141.12911798366866
8,LOSS,BUY,market,2023-01-11T01:00:00.000Z,2023-01-11T16:50:00.000Z,1876.81,1870.66536,1889.09929,-139.01218121391364
9,LOSS,BUY,market,2023-01-11T02:00:00.000Z,2023-01-11T16:50:00.000Z,1877.21,1871.46286,1888.70429,-136.92699849570494
10,LOSS,BUY,market,2023-01-11T03:00:00.000Z,2023-01-11T03:32:00.000Z,1877.96,1872.25786,1889.36429,-134.87309351826937
11,LOSS,BUY,market,2023-01-11T08:00:00.000Z,2023-01-11T14:19:00.000Z,1882.23,1876.5525,1893.585,-132.8499971154953
12,LOSS,BUY,market,2023-01-11T09:00:00.000Z,2023-01-11T16:36:00.000Z,1880.71,1875.31536,1891.49929,-130.85724715876287
13,LOSS,BUY,market,2023-01-11T10:00:00.000Z,2023-01-11T14:19:00.000Z,1881.6,1876.52571,1891.74857,-128.89438845138145
14,LOSS,BUY,market,2023-01-11T11:00:00.000Z,2023-01-11T14:15:00.000Z,1883.87,1878.73679,1894.13643,-126.96097262461072
15,LOSS,BUY,market,2023-01-11T12:00:00.000Z,2023-01-11T14:12:00.000Z,1884.6,1879.51393,1894.77214,-125.05655803524155
16,LOSS,BUY,market,2023-01-11T13:00:00.000Z,2023-01-11T14:12:00.000Z,1884.75,1879.52786,1895.19429,-123.18070966471294
17,LOSS,BUY,market,2023-01-11T14:00:00.000Z,2023-01-11T14:16:00.000Z,1882.96,1877.69071,1893.49857,-121.33299901974225
18,LOSS,BUY,precision,2023-01-11T15:00:00.000Z,2023-01-11T16:50:00.000Z,1878.38,1870.76607,1883.26,-119.51300403444611
19,LOSS,SELL,market,2023-01-11T19:00:00.000Z,2023-01-12T03:51:00.000Z,1873.02,1880.03571,1858.98857,-117.7203089739294
20,LOSS,SELL,market,2023-01-11T20:00:00.000Z,2023-01-12T03:59:00.000Z,1873.85,1880.88607,1859.77786,-115.95450433932047
21,LOSS,BUY,market,2023-01-12T04:00:00.000Z,2023-01-12T15:30:00.000Z,1880.5,1874.22143,1893.05714,-114.21518677423066
22,LOSS,BUY,market,2023-01-12T05:00:00.000Z,2023-01-12T15:30:00.000Z,1883.62,1877.17214,1896.51571,-112.5019589726172
23,LOSS,BUY,market,2023-01-12T06:00:00.000Z,2023-01-12T15:30:00.000Z,1883.47,1877.57607,1895.25786,-110.81442958802795
24,LOSS,BUY,market,2023-01-12T07:00:00.000Z,2023-01-12T15:30:00.000Z,1884.4,1878.77179,1895.65643,-109.15221314420752
25,LOSS,BUY,market,2023-01-12T08:00:00.000Z,2023-01-12T15:30:00.000Z,1883.57,1878.67143,1893.36714,-107.51492994704441
26,LOSS,BUY,market,2023-01-12T09:00:00.000Z,2023-01-12T15:30:00.000Z,1883.2,1878.49536,1892.60929,-105.90220599783875
27,LOSS,BUY,market,2023-01-12T10:00:00.000Z,2023-01-12T15:30:00.000Z,1882.42,1878.04857,1891.16286,-104.31367290787117
28,WIN,BUY,market,2023-01-12T11:00:00.000Z,2023-01-12T15:28:00.000Z,1882.03,1877.82786,1890.43429,180.55330865204468
29,LOSS,BUY,market,2023-01-12T12:00:00.000Z,2023-01-12T15:30:00.000Z,1884.3,1880.145,1892.61,-105.45726744403376
30,LOSS,BUY,market,2023-01-12T13:00:00.000Z,2023-01-12T15:30:00.000Z,1884.29,1880.09214,1892.68571,-103.87540843237325
31,LOSS,BUY,market,2023-01-12T14:00:00.000Z,2023-01-12T15:30:00.000Z,1885.11,1880.92714,1893.47571,-102.31727730588764
32,WIN,BUY,market,2023-01-12T17:00:00.000Z,2023-01-13T10:07:00.000Z,1882.4,1872.84821,1901.50357,175.00216997184685
33,WIN,BUY,market,2023-01-12T18:00:00.000Z,2023-01-13T10:48:00.000Z,1888.83,1878.58607,1909.31786,176.73338215544095
34,WIN,BUY,market,2023-01-12T19:00:00.000Z,2023-01-13T17:43:00.000Z,1892.54,1882.21464,1913.19071,203.71661067272262
35,WIN,BUY,market,2023-01-12T20:00:00.000Z,2023-01-13T20:31:00.000Z,1897.65,1886.84036,1919.26929,207.3949980811485
36,WIN,BUY,market,2023-01-12T21:00:00.000Z,2023-01-13T20:41:00.000Z,1898.86,1887.71393,1921.15214,217.6435832256267
37,WIN,BUY,market,2023-01-12T22:00:00.000Z,2023-01-13T20:39:00.000Z,1897.75,1886.36286,1920.52429,227.06907436334646
38,WIN,BUY,market,2023-01-12T23:00:00.000Z,2023-01-13T20:43:00.000Z,1898.34,1886.72036,1921.57929,221.6716274972679
39,WIN,BUY,market,2023-01-13T01:00:00.000Z,2023-01-13T20:39:00.000Z,1896.74,1885.27893,1919.66214,274.1871048124151
40,WIN,BUY,market,2023-01-13T02:00:00.000Z,2023-01-13T20:41:00.000Z,1897.98,1886.39786,1921.14429,246.86771399101903
41,LOSS,SELL,precision,2023-01-13T03:00:00.000Z,2023-01-13T10:10:00.000Z,1870.77,1903.86593,1875.01071,-130.03681211786187
42,LOSS,SELL,precision,2023-01-13T04:00:00.000Z,2023-01-13T10:10:00.000Z,1870.77,1903.89464,1875.36357,-128.08625993609394
43,LOSS,SELL,precision,2023-01-13T05:00:00.000Z,2023-01-13T10:10:00.000Z,1870.77,1903.92914,1874.40857,-126.16496603705254
44,LOSS,SELL,precision,2023-01-13T06:00:00.000Z,2023-01-13T10:10:00.000Z,1870.77,1903.84664,1874.87357,-124.27249154649674
45,LOSS,BUY,market,2023-01-13T12:00:00.000Z,2023-01-13T14:25:00.000Z,1904.3,1897.895,1917.11,-122.40840417329929
46,WIN,BUY,market,2023-01-13T14:00:00.000Z,2023-01-13T17:22:00.000Z,1899.7,1893.09357,1912.91286,192.76659025059007
47,LOSS,BUY,market,2023-01-16T02:00:00.000Z,2023-01-17T06:15:00.000Z,1916.89,1908.20393,1934.26214,-123.46377696445865
48,LOSS,BUY,market,2023-01-16T03:00:00.000Z,2023-01-16T10:53:00.000Z,1919.09,1910.69107,1935.88786,-121.61182030999176
49,LOSS,BUY,market,2023-01-16T04:00:00.000Z,2023-01-16T08:33:00.000Z,1924.15,1915.33107,1941.78786,-119.78764300534189
50,LOSS,BUY,market,2023-01-16T05:00:00.000Z,2023-01-16T07:29:00.000Z,1928.2,1919.57714,1945.44571,-117.99082836026176
51,LOSS,BUY,precision,2023-01-16T07:02:00.000Z,2023-01-16T07:45:00.000Z,1921.245,1918.776,1930.94,-116.22096593485783
52,LOSS,SELL,market,2023-01-17T05:00:00.000Z,2023-01-17T16:13:00.000Z,1910.62,1915.33429,1901.19143,-114.47765144583497
53,LOSS,SELL,market,2023-01-17T06:00:00.000Z,2023-01-17T16:11:00.000Z,1910.25,1914.8475,1901.055,-112.76048667414743
54,LOSS,SELL,market,2023-01-17T07:00:00.000Z,2023-01-17T16:14:00.000Z,1911.29,1915.895,1902.08,-111.06907937403521
55,LOSS,SELL,market,2023-01-17T11:00:00.000Z,2023-01-17T16:10:00.000Z,1909.53,1914.52071,1899.54857,-109.4030431834247
56,LOSS,SELL,market,2023-01-17T12:00:00.000Z,2023-01-17T13:57:00.000Z,1906.54,1911.76107,1896.09786,-107.76199753567333
57,LOSS,SELL,market,2023-01-17T13:00:00.000Z,2023-01-17T13:57:00.000Z,1906.24,1911.72143,1895.27714,-106.14556757263823
58,LOSS,SELL,market,2023-01-17T15:00:00.000Z,2023-01-17T16:14:00.000Z,1909.34,1915.91964,1896.18071,-104.55338405904865
59,WIN,SELL,market,2023-01-17T17:00:00.000Z,2023-01-18T06:06:00.000Z,1913.53,1920.77821,1899.03357,151.25199343916708
60,LOSS,SELL,market,2023-01-17T18:00:00.000Z,2023-01-18T15:02:00.000Z,1910.99,1918.31964,1896.33071,-105.25386319975043
61,WIN,SELL,market,2023-01-17T19:00:00.000Z,2023-01-18T06:07:00.000Z,1912.05,1919.04321,1898.06357,176.86233973198688
62,LOSS,SELL,market,2023-01-17T20:00:00.000Z,2023-01-18T10:17:00.000Z,1907.1,1914.66536,1891.96929,-106.32799034773397
63,LOSS,SELL,market,2023-01-17T21:00:00.000Z,2023-01-18T10:16:00.000Z,1905.56,1913.0825,1890.515,-104.73307049251797
64,LOSS,SELL,market,2023-01-17T22:00:00.000Z,2023-01-18T11:51:00.000Z,1907.9,1915.57464,1892.55071,-103.1620744351302
